,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Troms??,EE,LV,LT,FRE
05-01-2016,170.74,158.05,158.05,158.05,158.05,245.52,147.48,158.05,158.05,147.48,147.48,158.05,158.05,152.47,245.52,345.8,345.8,245.52
06-01-2016,224.52,214.1,214.1,214.1,214.1,272.15,192.17,214.1,214.1,192.17,192.17,214.1,214.1,214.1,272.15,321.48,321.48,272.15
07-01-2016,290.51,372.9,372.9,372.9,372.9,432.02,178.92,372.9,359.29,178.92,178.92,372.9,372.9,372.9,432.02,440.42,440.42,432.02
08-01-2016,244.32,227.38,227.38,227.38,227.38,396.27,191.07,227.38,221.1,200.59,201.29,227.38,227.38,227.38,396.27,432.22,432.22,396.27
09-01-2016,198.69,184.89,184.89,184.89,184.89,253.89,182.12,184.89,182.12,182.12,182.12,184.89,184.89,183.66,253.89,622.66,622.66,253.89
10-01-2016,164.88,160.44,160.44,160.44,160.44,218.46,158.04,160.5,160.44,160.21,160.21,160.44,160.44,160.31,218.46,342.85,342.85,218.46
11-01-2016,249.01,184.17,184.17,242.3,244.09,314.27,242.3,244.09,242.3,242.3,242.3,184.17,184.17,183.78,314.27,652.17,652.17,
12-01-2016,233.7,181.96,181.96,228.17,228.26,255.6,220.34,228.49,220.34,220.34,220.34,181.96,181.96,181.96,255.6,494.85,494.85,
13-01-2016,250.59,228.99,228.99,257.18,257.18,274.75,218.13,257.18,223.98,217.23,217.23,228.99,228.99,228.99,274.75,560.35,594.21,
14-01-2016,321.09,194.4,194.4,416.78,416.78,423.35,225.02,416.78,416.78,225.02,225.02,193.68,193.68,193.68,406.26,421.1,421.1,
15-01-2016,312.76,192.85,192.85,434.56,434.56,451.83,252.46,434.56,434.54,254.35,254.35,192.85,192.85,192.85,451.83,475.06,485.22,
16-01-2016,201.07,185.56,185.56,208.79,208.79,222.66,207.47,208.79,208.79,207.47,207.47,185.56,185.56,171.97,222.66,289.84,289.84,222.66
17-01-2016,189.91,181.05,181.05,197.28,197.43,206,196.97,197.43,197.28,197.28,197.28,181.05,181.05,178.07,206,272.98,272.98,206
18-01-2016,367.62,322.43,322.43,322.43,322.43,422.92,282.17,322.43,322.43,283.04,283.04,320.27,320.27,319.2,422.92,435.19,435.19,
19-01-2016,413.16,426.54,426.54,426.54,426.54,441.81,327.08,426.54,353.03,341.08,341.08,426.54,426.54,426.54,417.84,423.96,423.96,
20-01-2016,375.94,380.01,380.01,380.01,380.01,395.49,363.04,380.01,379.6,363.04,363.04,380.01,380.01,320.36,389.45,389.75,389.75,
21-01-2016,604.35,657.46,657.46,657.46,657.46,685.93,387.04,657.46,644.72,387.04,387.04,657.46,657.46,657.46,681.52,683.66,683.66,
22-01-2016,279.82,312.35,312.35,312.35,312.35,399.15,207.42,312.35,288.16,207.42,207.42,312.35,312.35,312.35,399.15,412.96,412.96,
23-01-2016,183.42,178.01,178.01,178.01,178.06,227.63,178.01,178.06,178.01,178.01,178.01,178.01,178.01,177.25,227.63,277,277,227.63
24-01-2016,168.29,166.16,166.16,166.16,166.16,184.63,166.16,166.16,166.16,166.16,166.16,166.16,166.16,162.58,184.63,260.5,260.5,184.63
25-01-2016,197.12,174.85,174.85,180.46,180.76,249.51,180.46,180.76,180.46,180.46,180.46,174.85,174.85,174.85,249.51,341.7,367.12,
26-01-2016,138.02,135.78,135.78,135.78,135.78,211.08,135.78,135.78,135.78,135.78,135.78,135.78,135.78,132.31,211.08,311.92,311.92,
27-01-2016,127.39,124.3,124.3,124.32,124.32,215.29,109.1,111.04,124.48,124.48,124.48,124.3,124.3,123,215.29,288.47,288.47,
28-01-2016,128.07,125.28,125.28,125.28,125.28,214.18,123.13,123.48,125.28,125.28,125.28,125.28,125.28,125.28,218.9,288.74,288.74,
29-01-2016,124.79,120.32,120.32,120.32,120.32,210.77,120.32,120.32,121.31,121.31,121.31,123.17,123.17,121.6,210.77,280.82,280.82,
30-01-2016,110.78,101.85,101.85,101.85,101.85,101.85,84.93,101.99,114.08,114.08,114.08,114.92,114.92,114.22,103.43,222.51,222.51,
31-01-2016,123.54,122.79,122.79,122.79,122.79,160.06,83.85,103.04,123.01,123.01,123.01,122.79,122.79,122.79,160.06,227.01,227.01,
01-02-2016,143.47,131.75,131.75,138.97,138.97,223.44,135.66,139.77,138.98,138.98,138.98,131.75,131.75,131.75,223.44,287.33,287.33,
02-02-2016,128.49,126.1,126.1,126.1,126.1,222.45,99.33,107.98,126.31,126.31,126.31,126.37,126.37,126.37,222.45,228.32,228.32,
03-02-2016,137.21,132.48,132.48,132.48,132.48,226.74,123.32,123.36,132.48,132.48,132.48,132.48,132.48,132.48,226.74,232.39,232.39,
04-02-2016,139.43,135.04,135.04,135.94,135.94,217.87,135.81,136.24,135.94,135.94,135.94,135.04,135.04,135.04,217.87,235.37,235.37,
05-02-2016,171.72,153.38,153.38,155.05,155.05,252.33,155.05,155.05,155.05,155.05,155.05,153.38,153.38,151.24,252.33,260.83,260.83,
06-02-2016,121.18,119.44,119.44,119.44,119.44,201.07,114.56,119.44,119.44,119.44,119.44,119.51,119.51,119.51,220.38,221.4,221.4,
07-02-2016,111.59,109.7,109.7,109.7,109.7,112.54,71.02,109.24,110.54,110.54,110.54,116.88,116.88,116.88,172.15,188.7,188.7,
08-02-2016,115.5,107.48,107.48,107.48,107.48,213.87,97.89,107.48,111.18,111.18,111.18,126.34,126.34,119.55,215.88,234.58,234.58,
09-02-2016,128.2,126.68,126.68,126.68,126.68,202.98,99.88,99.88,126.68,126.68,126.68,128.12,128.12,128.12,203.58,223.99,223.99,
10-02-2016,149.39,146.72,146.72,146.72,148.9,208.71,146.72,148.9,139.26,139.26,139.26,146.72,146.72,146.11,215.95,221.87,221.87,
11-02-2016,153.4,144.16,144.16,153.36,153.36,232.78,154.35,154.35,144.92,144.92,144.92,144.16,144.16,144,251.43,258.1,258.1,
12-02-2016,162.8,141.5,141.5,172.74,183.29,239.87,179.18,184.12,162.94,162.94,154.91,141.5,141.5,141.39,258.67,277.12,277.12,
13-02-2016,140.53,139.06,139.06,139.06,139.06,170.45,139.06,139.06,139.06,139.06,139.06,139.06,139.06,139.06,237.09,238.81,238.81,170.45
14-02-2016,130.69,130.82,130.82,130.82,131.54,137.39,128.83,130.1,130.1,130.1,130.1,130.82,130.82,130.82,209.69,222.29,222.29,137.39
15-02-2016,170.87,155.37,155.37,160.47,160.47,214.88,158.02,160.47,156.33,156.33,156.33,155.37,155.37,155.37,224.99,245.97,245.97,
16-02-2016,200.42,191.97,191.97,195.33,202.8,208.58,195.33,209.47,186.03,186.03,186.03,191.97,191.97,190.47,211.55,243.11,243.11,
17-02-2016,139.95,138.64,138.64,138.64,141.56,198.43,137.89,141.56,138.64,138.64,138.64,138.64,138.64,135.53,208.47,244.89,244.89,
18-02-2016,180.16,172.4,172.4,172.4,197.58,199.29,172.4,197.58,172.4,172.4,172.4,172.4,172.4,137.96,204.43,209.22,209.22,
19-02-2016,159.25,154.5,154.5,154.5,180.06,203.16,154.5,180.06,154.5,154.5,154.5,154.59,154.59,135.62,210.04,210.05,210.05,
20-02-2016,125.12,122.04,122.04,122.04,122.04,154.45,98.13,102.38,122.19,122.19,122.19,134.04,134.04,130.79,156.85,156.85,156.85,
21-02-2016,121.07,120.11,120.11,120.11,120.11,120.21,69.82,92.73,120.11,120.11,120.11,135.66,135.66,129.3,136.88,136.88,136.88,
22-02-2016,138.88,139.26,139.26,139.26,139.26,148.82,111.16,114.21,139.26,139.04,139.26,141.87,141.87,139.24,190.39,190.39,190.39,148.82
23-02-2016,147.38,147.58,147.58,147.58,147.58,154.74,146.54,147.58,147.58,147.58,147.58,147.58,147.58,144.72,183.33,183.33,183.33,154.74
24-02-2016,152.33,149.38,149.38,149.38,149.38,210.45,149.38,149.38,149.38,149.38,149.38,149.38,149.38,147.56,210.45,211.06,211.06,
25-02-2016,193.15,192.72,192.72,192.72,193.67,220.2,191.08,193.67,176.77,176.4,176.4,192.72,192.72,162.76,220.67,220.75,220.75,
26-02-2016,178.06,169.37,169.37,169.37,175.46,211.28,164.35,175.46,164.46,164.46,164.46,169.37,169.37,169.37,214.33,214.39,214.39,
27-02-2016,146.51,145.64,145.64,145.64,147.14,163.81,145.64,147.14,145.64,145.64,145.64,145.64,145.64,145.64,197.15,197.15,197.15,163.81
28-02-2016,141.99,141.3,141.3,141.3,142.89,148.65,141.29,142.89,141.1,141.1,141.1,141.3,141.3,141.3,194.97,194.97,194.97,148.65
29-02-2016,185.82,165.73,165.73,165.73,173.51,225.84,165.55,173.51,165.26,165.26,165.26,165.73,165.73,161.64,226.7,226.7,226.7,
01-03-2016,153.46,149.07,149.07,149.07,154.86,211.41,149.07,154.86,149.07,149.07,146.74,149.07,149.07,149.07,211.41,212.99,212.99,
02-03-2016,178.59,162.36,162.36,162.88,174.24,220.22,159.83,174.24,162.88,162.88,162.88,162.36,162.36,162.36,221.93,223.09,223.09,
03-03-2016,190.61,167.13,167.13,167.13,198.11,228.05,166.49,198.11,167.13,167.13,167.13,167.13,167.13,166.69,229.68,229.68,229.68,
04-03-2016,177.35,165.49,165.49,165.49,169.03,229.68,165.49,169.03,165.49,165.49,165.49,165.49,165.49,165.48,229.68,229.68,229.68,
05-03-2016,149.97,149.88,149.88,149.88,149.88,156.11,144.69,149.88,149.88,149.88,149.88,149.88,149.88,149.88,197.95,197.95,197.95,156.11
06-03-2016,147.66,147.65,147.65,147.65,147.79,147.65,147.65,147.79,147.65,147.65,147.65,147.65,147.65,147.65,187.33,188.1,188.1,147.65
07-03-2016,174.96,175.24,175.24,175.24,178.35,175.24,175.24,178.35,172.83,172.83,172.83,175.24,175.24,175.24,212.21,212.21,212.21,
08-03-2016,189.85,191.15,191.15,191.15,193.13,191.15,191.35,193.13,183.11,183.11,183.11,191.15,191.15,191.15,218.78,218.78,218.78,
09-03-2016,181.11,170.6,170.6,170.6,175.11,247.04,170.6,175.11,167.83,167.83,167.83,170.6,170.6,170.6,250.85,250.85,250.85,
10-03-2016,186.62,177.77,177.77,177.77,177.84,241.63,177.41,177.84,172.87,172.87,172.87,177.77,177.77,177.77,245.15,245.15,245.15,
11-03-2016,199.43,199.91,199.91,199.91,199.91,237.1,199.91,199.91,182.9,182.9,182.9,199.91,199.91,160.11,238.78,238.78,238.78,
12-03-2016,168.15,172.32,172.32,172.32,172.32,172.32,172.32,172.32,169.94,169.94,169.94,172.32,172.32,143.58,184.42,184.42,184.42,172.32
13-03-2016,160.46,163.2,163.2,163.2,163.44,163.2,163.2,163.44,163.2,163.2,163.2,163.2,163.2,142.47,173.33,173.33,173.33,163.2
14-03-2016,168.41,169.06,169.06,169.06,187.71,239.66,170.87,187.71,166.94,166.94,166.94,169.06,169.06,152.85,239.66,239.66,239.66,
15-03-2016,165.81,167.54,167.54,167.54,185.76,216.94,167.54,185.76,165.07,165.07,165.07,167.54,167.54,151.82,221.09,221.09,221.09,
16-03-2016,162.24,163,163,163,179.01,198,165.24,179.01,162.85,162.85,162.85,163,163,153.08,210.6,210.6,210.6,
17-03-2016,163.2,165.28,165.28,165.28,176.16,179.79,165.28,176.16,165.2,165.2,165.2,165.28,165.28,151.08,204.28,204.28,204.28,
18-03-2016,162.75,162.14,162.14,162.14,165.7,217.32,162.14,165.7,162.14,162.14,162.14,162.94,162.94,154.78,217.32,217.32,217.32,
19-03-2016,159.81,159.93,159.93,159.93,159.93,161.05,159.93,159.93,159.93,159.93,159.93,159.93,159.93,158.28,166.55,166.55,166.55,
20-03-2016,151.9,151.91,151.91,151.91,151.91,152.28,150.11,151.91,151.91,151.91,151.91,151.91,151.91,151.91,224.42,224.42,224.42,
21-03-2016,161.78,159.95,159.95,159.95,159.95,267.14,159.95,159.95,159.95,159.95,159.95,159.95,159.95,159.95,271.45,276.57,305.39,
22-03-2016,162.88,164.84,164.84,164.84,164.84,243.65,163.13,164.84,160.31,160.31,160.31,164.84,164.84,164.84,246.74,248.01,327.86,
23-03-2016,162.02,160.92,160.92,160.92,161.86,258.43,160.92,161.86,160.22,160.22,160.22,160.92,160.92,160.67,268.02,283.84,336.71,
24-03-2016,158.92,157.76,157.76,157.76,160.67,223.84,157.76,160.67,157.7,157.7,157.7,157.76,157.76,157.76,234.53,246.58,266.6,
25-03-2016,153.38,152.92,152.92,152.92,152.92,166.56,152.92,152.92,152.92,152.92,152.92,152.92,152.92,152.92,216.56,224.2,259.3,
26-03-2016,145.54,145.62,145.62,145.62,145.62,145.8,143.01,144.81,145.62,145.62,145.62,145.62,145.62,145.62,218.1,233.41,233.41,
27-03-2016,125.8,124.45,124.45,124.45,124.45,124.45,95.07,103.13,127.62,127.62,127.62,126.01,126.01,126.01,154.45,168.61,168.61,
28-03-2016,125.29,126.91,126.91,126.91,126.91,133.36,27.4,67.19,128.24,128.24,128.24,126.91,126.91,126.91,182.31,193.68,193.68,
29-03-2016,148.19,146.57,146.57,146.57,146.57,223.9,137.01,147.03,146.7,146.7,146.7,146.57,146.57,146.57,227.29,239.48,239.48,
30-03-2016,162.35,159.55,159.55,159.55,159.55,261.62,159.55,159.55,159.55,159.55,159.55,159.55,159.55,159.47,264.51,272.68,272.93,
31-03-2016,167.12,162.92,162.92,162.92,196.84,224.98,163.32,196.84,161.48,161.48,161.48,162.92,162.92,162.92,224.98,224.98,224.98,
01-04-2016,170.41,165.98,165.98,165.98,185.72,210.88,173.4,185.72,164,164,164,165.98,165.98,165.98,223.66,223.66,223.66,
02-04-2016,153.02,153.04,153.04,153.04,153.04,153.04,152.46,153.18,153.04,153.04,153.04,153.04,153.04,153.04,222.73,222.73,222.73,
03-04-2016,147.25,147.27,147.27,147.27,147.27,147.27,146.82,147.62,147.23,147.23,147.23,147.27,147.27,147.27,226.8,226.8,226.8,
04-04-2016,172.07,170.1,170.1,170.1,172.91,245.17,170.04,172.91,169.33,169.33,169.33,170.1,170.1,154.03,258,258,258,
05-04-2016,168.91,185.7,185.7,185.7,186.43,213.8,185.65,186.43,164.42,164.42,164.42,185.7,185.7,149.84,234.4,234.4,234.4,
06-04-2016,156.17,156.45,156.45,156.45,156.45,211.58,155.7,156.45,155.88,155.7,155.88,156.89,156.89,147.93,219.46,219.46,219.46,
07-04-2016,150.59,150.06,150.06,150.06,150.06,173.91,149.9,150.06,150.06,150.06,150.09,153.36,153.36,148.32,215.02,215.02,215.02,
08-04-2016,160.59,161,161,161,161,185.36,161,161,161,161,161,161,161,150.38,235.18,235.18,236.08,
09-04-2016,158.11,159.89,159.89,159.89,159.89,159.89,159.89,159.89,159.89,159.89,159.89,159.89,159.89,150.27,230.96,230.96,230.96,
10-04-2016,152.07,152.63,152.63,152.63,152.63,152.63,152.63,152.63,152.63,152.63,152.63,152.63,152.63,149.5,224.18,224.18,224.18,
11-04-2016,170.52,167.12,167.12,167.12,167.12,235.24,166.02,167.12,166.02,166.02,166.02,167.12,167.12,150.08,249.31,249.31,249.31,
12-04-2016,165.05,164.91,164.91,164.91,164.91,214.29,164.91,164.91,164.91,164.91,164.91,164.91,164.91,151.31,222.52,222.52,222.52,
13-04-2016,180.8,181.76,181.76,181.76,181.76,219.59,181.76,181.76,180.25,180.25,180.25,181.76,181.76,157.04,231.02,231.66,231.66,
14-04-2016,178.34,185.68,185.68,185.68,185.68,218.35,185.68,185.68,169.2,169.2,169.2,185.68,185.68,157.83,229.75,229.75,229.75,
15-04-2016,167.58,166.1,166.1,166.1,166.1,230.81,166.1,166.1,166.1,166.1,166.1,166.1,166.1,157.22,251.4,256.89,342.29,
16-04-2016,153.87,153.68,153.68,153.68,153.68,154.27,153.46,153.68,153.68,153.68,153.68,160.2,160.2,150.9,178.38,190.42,218.5,
17-04-2016,141.16,137.7,137.7,137.7,137.7,148.91,128.11,136.9,137.76,137.76,139.04,160.55,160.55,147.76,158.55,163.17,211.81,
18-04-2016,157.6,153.84,153.84,153.84,153.84,251.54,153.84,153.84,153.94,153.94,153.94,159.11,159.11,152.55,251.54,255.35,273.18,
19-04-2016,153.14,147.26,147.26,147.26,147.26,213.95,139.83,147.26,150.04,150.04,150.04,161.5,161.5,150.51,213.95,213.95,213.95,
20-04-2016,161.47,159.34,159.34,159.34,159.34,209.12,159.34,159.34,159.96,159.96,160.25,164.21,164.21,157.71,209.12,215.61,215.61,
21-04-2016,162.36,159.4,159.4,159.4,159.4,241.83,159.4,159.4,159.4,159.4,159.4,159.4,159.4,158.33,241.83,247.57,266.52,
22-04-2016,161.81,159.56,159.56,159.56,159.56,219.82,159.56,159.56,159.56,159.56,159.56,159.7,159.7,157.28,219.96,219.96,219.96,
23-04-2016,161.52,161.84,161.84,161.84,161.84,183.57,161.84,161.84,161.84,161.84,161.84,164.75,164.75,154.36,185.52,185.52,242.25,
24-04-2016,159.61,159.11,159.11,159.11,159.11,170.15,158.11,159.11,159.11,159.11,159.11,166.63,166.63,155.03,177.59,193.3,203.41,
25-04-2016,185.54,181.25,181.25,181.44,181.44,237.92,181.44,181.97,181.44,181.44,181.44,182.71,182.71,162.07,237.92,260.64,290.02,
26-04-2016,184.73,179.19,179.19,179.19,179.19,243.8,179.19,179.19,179.19,179.19,179.19,180.14,180.14,163.49,243.8,289.31,340.17,
27-04-2016,180.31,179.28,179.28,179.28,179.28,214.39,179.28,179.28,179.28,179.28,179.28,179.33,179.33,164.41,214.39,237.12,292.51,
28-04-2016,188.86,191.17,191.17,191.17,191.17,206.13,191.17,191.17,191.17,191.17,191.17,191.17,191.17,163.89,206.13,222.27,338.92,
29-04-2016,168.53,166.44,166.44,167.39,167.39,247.53,165.1,167.76,167.39,167.39,167.39,166.49,166.49,165.24,247.53,302.52,302.52,
30-04-2016,167.07,168.56,168.56,168.56,168.56,168.56,168.56,168.56,168.56,168.56,168.56,168.79,168.79,159.06,176.38,179.38,179.38,
01-05-2016,161.27,161.61,161.61,161.61,161.61,161.61,160.9,161.82,161.61,161.61,161.61,165.11,165.11,155.61,163.65,163.65,163.65,
02-05-2016,179.95,185.67,185.67,185.67,185.67,185.67,185.23,189.98,185.67,185.67,185.67,186.02,186.02,165.02,196.91,218.63,218.63,
03-05-2016,179.36,181.7,181.7,181.7,181.7,181.7,181.7,181.7,181.7,181.7,181.7,181.8,181.8,167.72,189.24,209.52,209.52,
04-05-2016,186.43,188.7,188.7,188.7,188.7,231.63,192.52,192.52,188.7,188.7,188.7,188.7,188.7,166.37,232.9,240.05,246.18,
05-05-2016,158.67,158.47,158.47,158.47,158.47,167.51,158.47,158.49,158.47,158.47,158.47,158.47,158.47,158.18,186.15,272.62,272.62,
06-05-2016,162.45,161.95,161.95,161.95,163.15,192.14,161.95,163.34,161.95,161.95,161.95,161.95,161.95,160.46,192.14,224.09,224.09,
07-05-2016,138.04,138.06,138.06,138.06,138.06,138.06,138.04,138.06,138.06,138.06,138.06,138.06,138.06,138.06,138.06,138.06,138.06,
08-05-2016,120.92,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,125.39,125.39,125.39,118.4,118.4,118.4,
09-05-2016,157.83,157.34,157.34,157.34,160.31,160.07,157.34,160.4,157.34,157.34,157.34,157.34,157.34,157.34,160.07,202.35,202.35,
10-05-2016,177.24,174.68,174.68,174.68,176.35,227.72,174.68,176.61,171.69,171.69,171.69,173.7,173.7,168.61,227.72,248.67,248.67,
11-05-2016,180.43,181.49,181.49,181.49,181.49,247.5,181.49,181.49,171.17,171.17,171.17,182.05,182.05,168.39,247.5,253.59,253.59,
12-05-2016,173.52,183.98,183.98,183.98,183.98,237.07,183.98,183.98,166.07,166.07,166.07,183.13,183.13,164.23,237.07,249.94,249.94,
13-05-2016,186.46,192.9,192.9,192.9,195.33,248.22,192.9,197.38,176.41,176.41,176.41,178.2,178.2,169.5,248.22,263.17,263.17,
14-05-2016,151.15,151.14,151.14,151.14,151.14,151.14,146.8,151.14,151.14,151.14,151.14,151.25,151.25,151.25,151.14,167.18,167.18,
15-05-2016,149.02,148.94,148.94,148.94,148.94,151.55,148.94,148.94,148.94,148.94,148.94,148.94,148.94,148.92,151.55,177.37,177.37,
16-05-2016,166.7,164.48,164.48,164.48,164.48,238.96,161.69,164.48,163.83,163.83,163.83,164.29,164.29,162.45,238.96,239.62,239.62,
17-05-2016,183.9,194.2,194.2,194.2,194.2,235.51,176.93,194.2,176.69,176.69,176.69,188.87,188.87,167.77,235.51,248.6,248.6,
18-05-2016,204.22,222.3,222.3,222.3,222.55,236.54,209,222.56,188.04,188.04,188.04,218.59,218.59,172.04,236.54,283.66,283.66,
19-05-2016,218.56,242.58,242.58,242.58,244.6,266.38,242.58,244.85,183.45,183.45,183.45,241.37,241.37,225.12,266.38,280.36,280.36,
20-05-2016,186.56,184.84,184.84,184.84,184.84,278.93,184.6,187.74,178.63,178.63,178.63,184.84,184.84,182.61,278.93,335.55,335.55,
21-05-2016,171.32,170.19,170.19,170.19,170.19,198.81,169.91,170.19,169.91,169.91,169.91,170.19,170.19,172.34,198.81,211.71,211.71,
22-05-2016,164.42,164.73,164.73,164.73,164.73,164.73,162.56,164.76,163.85,163.85,163.85,164.73,164.73,164.78,164.73,189.72,189.72,
23-05-2016,180.38,180.17,180.17,180.17,180.17,228.93,179.68,217.44,177.13,177.13,177.13,180.17,180.17,172.1,228.93,291.04,291.04,
24-05-2016,178.12,178.98,178.98,178.98,178.98,222.94,177.3,217.82,172.39,172.39,172.39,178.98,178.98,174.38,226.25,299.42,299.42,
25-05-2016,179.58,180.81,180.81,180.81,180.81,211.12,175.49,227.03,175.15,175.15,175.15,180.81,180.81,175.05,211.56,311.43,311.43,
26-05-2016,187.22,188.09,188.09,188.09,188.09,243.17,187.51,206.02,183.66,183.66,183.66,188.09,188.09,179.05,244.29,294.25,294.25,
27-05-2016,192.74,197.06,197.06,197.06,197.06,303.65,197.06,213.17,181.73,181.73,181.73,189.18,189.18,180.24,303.65,331.39,331.39,
28-05-2016,171.45,174.32,174.32,174.32,174.32,174.32,172.92,177.98,171.32,171.32,171.32,174.32,174.32,170.37,174.32,271.71,307.98,
29-05-2016,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,154.98,206.76,206.76,
30-05-2016,167.76,168.99,168.99,168.99,168.99,239.23,161.11,168.99,161.11,161.11,160.2,168.99,168.99,165.2,239.23,288.49,289.44,
31-05-2016,180.55,205.25,205.25,205.25,205.25,273.17,196.17,206.2,169.25,169.25,167.66,197.09,197.09,174.08,273.17,304.47,304.47,
01-06-2016,190.11,225.82,225.82,225.82,225.82,289.14,225.76,225.82,169.08,169.08,169.08,205.85,205.85,179.96,289.14,304.23,304.23,
02-06-2016,183.23,218.49,218.49,218.49,218.49,262.69,214.04,218.49,161.18,161.18,161.18,200.27,200.27,177.72,262.69,282.42,282.42,
03-06-2016,182.39,210.68,210.68,215.22,215.22,245.48,214.81,215.47,163.87,163.87,163.55,196.86,196.86,177.59,245.48,288.38,288.38,
04-06-2016,169.97,189.8,189.8,189.8,189.8,190.34,186.85,189.8,162.84,162.84,162.84,185.23,185.23,171.29,190.34,262.61,262.61,
05-06-2016,165.92,188.23,188.23,188.23,188.23,189.66,169.83,188.23,159.4,159.4,159.4,184.4,184.4,168.43,189.66,212.77,212.77,
06-06-2016,200.29,229.47,229.47,229.47,229.47,312.7,227.17,229.74,169.27,169.27,167.77,213.41,213.41,182.48,312.7,312.7,312.7,
07-06-2016,203.78,242.19,242.19,242.19,242.19,279.92,216.58,242.19,175.76,175.76,169.22,231.97,231.97,189.39,279.92,279.92,279.92,
08-06-2016,197.51,216.44,216.44,216.44,220.8,257.13,211.13,220.8,176.13,176.13,175.98,207.77,207.77,190.18,257.13,262.73,262.73,
09-06-2016,201.15,239.19,239.19,239.19,239.19,239.65,215.8,239.19,177.51,177.51,177.51,242.28,242.28,187.74,239.65,264.93,264.93,
10-06-2016,196.98,231.1,231.1,231.1,231.1,250.84,189.45,231.1,176.3,176.3,176.3,231.36,231.36,188.42,267.13,267.87,267.87,
11-06-2016,191.14,218.41,218.41,218.41,218.41,225.7,198.36,218.41,178.82,178.82,178.82,218.41,218.41,184.15,225.7,227.39,227.39,
12-06-2016,187.83,214.56,214.56,214.56,214.56,214.56,185.48,214.56,178.5,178.5,178.5,214.56,214.56,185.21,214.56,232.87,232.87,
13-06-2016,207.07,229.36,229.36,229.36,229.36,229.36,212.36,229.36,190.97,190.97,190.97,229.36,229.36,192.41,229.36,289.33,289.33,
14-06-2016,205.87,273.03,273.03,273.03,273.03,283.05,225.49,273.03,189.51,189.51,189.51,273.03,273.03,187.05,293.56,314.57,314.57,
15-06-2016,212.89,240.61,240.61,240.61,240.61,266.94,229.06,240.61,199.46,199.46,195.29,239.85,239.85,188.67,266.94,283.43,283.43,
16-06-2016,213.08,273.7,273.7,273.7,273.7,273.7,269.99,273.7,196.55,196.55,195.78,273.7,273.7,187.26,273.7,295.06,295.06,
17-06-2016,206.12,256.6,256.6,256.6,256.6,265.3,251.54,256.6,195.63,195.63,195.63,256.6,256.6,183.77,265.3,280.57,280.57,
18-06-2016,183.73,187.98,187.98,187.98,187.98,187.98,182.42,187.98,183.19,183.19,183.19,187.98,187.98,181.29,187.98,188.44,188.44,
19-06-2016,175.97,186.4,186.4,186.4,186.4,186.4,169.68,186.4,171.13,171.13,171.13,188.89,188.89,176.22,186.4,233.33,233.33,
20-06-2016,205.1,245.86,245.86,245.86,245.86,246.28,194,245.86,191.29,191.29,185.91,245.86,245.86,186.33,246.28,349.07,349.07,
21-06-2016,206.57,247.07,247.07,247.07,247.07,247.07,246.56,247.07,193.36,193.36,184.78,247.23,247.23,185.62,401.51,421.43,421.43,
22-06-2016,209.47,266.6,266.6,266.6,266.6,266.6,246.9,266.6,191.25,191.25,183.13,266.6,266.6,190.55,266.6,476.72,476.72,
23-06-2016,207.82,244.69,244.69,244.69,244.69,244.69,221.23,244.69,186.7,186.7,180.64,244.69,244.69,190.8,244.69,355.15,355.15,
24-06-2016,200.91,223.73,223.73,223.73,223.73,223.73,223.29,227.55,183.76,183.76,183.44,223.43,223.43,189.04,223.73,272.14,272.14,
25-06-2016,189.36,212.08,212.08,212.08,212.08,212.08,208.36,212.08,179.6,179.6,179.6,212.65,212.65,185.67,212.08,248.5,248.5,
26-06-2016,176.68,201.28,201.28,201.28,201.28,201.28,173.59,201.28,163.73,163.73,163.73,201.42,201.42,180.34,201.28,203.86,203.86,
27-06-2016,211.29,403.06,403.06,403.06,403.06,403.06,202,403.06,177.17,177.17,177.17,320.11,320.11,184.34,403.06,403.06,403.06,
28-06-2016,220.68,582.23,582.23,582.23,582.23,582.23,246.62,582.23,181.65,181.65,181.65,259.29,259.29,185.58,582.23,582.23,582.23,
29-06-2016,214.46,359.16,359.16,359.16,359.16,359.16,204,359.16,176.07,176.07,176.07,230.31,230.31,186,359.16,360.04,360.04,
30-06-2016,201.95,262.57,262.57,262.57,262.57,263.35,197.13,262.57,172.37,172.37,172.37,223.52,223.52,184.61,263.35,286.66,286.66,
01-07-2016,188.41,216.17,216.17,216.17,216.17,228.45,180.03,216.17,169.93,169.93,169.93,209.67,209.67,191.79,228.45,852.76,852.76,
02-07-2016,160.2,171.71,171.71,171.71,171.71,171.71,156.55,171.71,154.43,154.43,154.43,171.71,171.71,171.71,171.71,600.24,600.24,
03-07-2016,157.44,175.05,175.05,175.05,175.05,175.05,145.51,175.05,148.37,148.37,148.37,171.02,171.02,170.89,175.05,294.71,294.71,
04-07-2016,193.02,234.91,234.91,234.91,234.91,289.49,229.36,235.16,168.89,168.89,168.89,225.3,225.3,186.29,289.49,294.11,294.11,
05-07-2016,185.36,214.98,214.98,214.98,214.98,221.57,200.77,215.76,166.18,166.18,165.46,222.21,222.21,187.64,221.57,285.31,285.31,
